iteration,reward
0,0
20,5
40,4
60,2
80,9
100,5
120,2
140,3
160,4
180,5
200,7
220,0
240,2
260,4
280,4
300,2
320,3
340,3
360,1
380,1
400,4
420,13
440,1
460,9
480,2
500,3
520,6
540,2
560,2
580,2
600,1
620,1
640,2
660,8
680,2
700,1
720,5
740,5
760,1
780,1
800,2
820,10
840,2
860,4
880,2
900,1
920,1
940,1
960,3
980,2
1000,5
1020,1
1040,1
1060,2
1080,2
1100,1
1120,4
1140,6
1160,1
1180,1
1200,3
1220,0
1240,4
1260,2
1280,4
1300,2
1320,2
1340,1
1360,0
1380,2
1400,5
1420,6
1440,1
1460,3
1480,3
1500,2
1520,4
1540,4
1560,2
1580,1
1600,0
1620,4
1640,2
1660,4
1680,4
1700,0
1720,1
1740,3
1760,3
1780,2
1800,1
1820,0
1840,2
1860,0
1880,2
1900,0
1920,5
1940,2
1960,4
1980,2
2000,1
2020,2
2040,2
2060,1
2080,1
2100,3
2120,6
2140,8
2160,2
2180,2
2200,7
2220,1
2240,3
2260,2
2280,1
2300,1
2320,3
2340,2
2360,1
2380,1
2400,1
2420,4
2440,5
2460,1
2480,4
2500,4
2520,4
2540,6
2560,1
2580,6
2600,1
2620,6
2640,6
2660,4
2680,1
2700,6
2720,4
2740,1
2760,2
2780,3
2800,5
2820,1
2840,2
2860,2
2880,12
2900,2
2920,2
2940,2
2960,1
2980,4
3000,2
3020,3
3040,3
3060,1
3080,2
3100,1
3120,2
3140,8
3160,2
3180,1
3200,0
3220,2
3240,2
3260,2
3280,1
3300,6
3320,1
3340,0
3360,3
3380,3
3400,1
3420,1
3440,4
3460,4
3480,7
3500,1
3520,14
3540,3
3560,1
3580,3
3600,5
3620,3
3640,1
3660,1
3680,2
3700,5
3720,9
3740,2
3760,0
3780,0
3800,0
3820,2
3840,3
3860,1
3880,2
3900,1
3920,1
3940,3
3960,2
3980,0
4000,10
4020,2
4040,1
4060,4
4080,1
4100,1
4120,1
4140,3
4160,4
4180,1
4200,5
4220,4
4240,4
4260,2
4280,3
4300,1
4320,3
4340,2
4360,1
4380,2
4400,1
4420,2
4440,1
4460,3
4480,2
4500,3
4520,0
4540,3
4560,0
4580,1
4600,2
4620,1
4640,1
4660,1
4680,2
4700,2
4720,1
4740,1
4760,2
4780,6
4800,1
4820,3
4840,5
4860,1
4880,6
4900,2
4920,0
4940,4
4960,4
4980,5
5000,2
5020,2
5040,4
5060,2
5080,6
5100,3
5120,1
5140,2
5160,2
5180,0
5200,6
5220,4
5240,2
5260,1
5280,0
5300,1
5320,6
5340,4
5360,2
5380,1
5400,3
5420,1
5440,3
5460,4
5480,4
5500,1
5520,3
5540,0
5560,3
5580,1
5600,2
5620,4
5640,2
5660,5
5680,1
5700,10
5720,2
5740,7
5760,1
5780,2
5800,2
5820,9
5840,4
5860,3
5880,2
5900,1
5920,0
5940,2
5960,4
5980,1
6000,4
6020,1
6040,2
6060,2
6080,4
6100,1
6120,4
6140,6
6160,2
6180,0
6200,4
6220,4
6240,1
6260,7
6280,2
6300,2
6320,0
6340,1
6360,2
6380,1
6400,5
6420,2
6440,8
6460,3
6480,1
6500,1
6520,2
6540,0
6560,2
6580,2
6600,2
6620,1
6640,1
6660,3
6680,2
6700,1
6720,18
6740,1
6760,3
6780,8
6800,6
6820,3
6840,2
6860,4
6880,1
6900,2
6920,8
6940,2
6960,0
6980,1
7000,1
7020,2
7040,1
7060,2
7080,4
7100,6
7120,3
7140,2
7160,2
7180,1
7200,4
7220,4
7240,1
7260,3
7280,13
7300,8
7320,2
7340,3
7360,2
7380,1
7400,4
7420,3
7440,13
7460,1
7480,1
7500,1
7520,3
7540,2
7560,0
7580,3
7600,2
7620,2
7640,3
7660,1
7680,2
7700,5
7720,10
7740,2
7760,2
7780,3
7800,1
7820,1
7840,4
7860,1
7880,4
7900,3
7920,2
7940,1
7960,0
7980,2
8000,3
8020,5
8040,3
8060,1
8080,4
8100,4
8120,5
8140,1
8160,0
8180,4
8200,2
8220,3
8240,1
8260,5
8280,0
8300,1
8320,2
8340,2
8360,6
8380,1
8400,1
8420,5
8440,9
8460,2
8480,9
8500,1
8520,3
8540,3
8560,2
8580,3
8600,1
8620,2
8640,2
8660,7
8680,2
8700,2
8720,1
8740,6
8760,1
8780,3
8800,6
8820,4
8840,3
8860,10
8880,3
8900,5
8920,3
8940,8
8960,3
8980,3
9000,1
9020,2
9040,1
9060,1
9080,3
9100,0
9120,3
9140,3
9160,1
9180,2
9200,8
9220,1
9240,1
9260,6
9280,1
9300,0
9320,2
9340,3
9360,2
9380,0
9400,0
9420,6
9440,3
9460,2
9480,4
9500,0
9520,1
9540,3
9560,1
9580,1
9600,6
9620,2
9640,7
9660,2
9680,4
9700,1
9720,1
9740,2
9760,6
9780,2
9800,2
9820,2
9840,5
9860,1
9880,3
9900,1
9920,3
9940,1
9960,3
9980,6
10000,5
